Location	Name	Year	Date	Ice Thickness
ABRA2	Amber Lake	2007	  02-01	27
ABRA2	Amber Lake	2007	  03-02	39
ABRA2	Amber Lake	2007	  12-03	4
ABRA2	Amber Lake	2008	  01-01	12
ABRA2	Amber Lake	2008	  04-03	25
ABRA2	Amber Lake	2008	  04-30	16
ABRA2	Amber Lake	2008	  12-01	16
ABRA2	Amber Lake	2009	  01-01	21
ABRA2	Amber Lake	2009	  02-01	31
ABRA2	Amber Lake	2009	  03-02	30
ABRA2	Amber Lake	2009	  04-01	37
ABRA2	Amber Lake	2009	  12-07	8
ABRA2	Amber Lake	2010	  01-01	15
ABRA2	Amber Lake	2010	  02-03	15
ABRA2	Amber Lake	2010	  03-01	26
ABRA2	Amber Lake	2011	  01-02	16
ABRA2	Amber Lake	2011	  02-01	19
ABRA2	Amber Lake	2011	  03-01	27
ABRA2	Amber Lake	2011	  12-05	8
ABRA2	Amber Lake	2012	  01-06	23
ABRA2	Amber Lake	2012	  02-01	25
ABRA2	Amber Lake	2012	  03-01	27
ABRA2	Amber Lake	2012	  03-01	27
ABRA2	Amber Lake	2012	  04-03	30
ABRA2	Amber Lake	2012	  12-01	16
ABRA2	Amber Lake	2013	  01-01	23
ABRA2	Amber Lake	2013	  02-01	26
ABRA2	Amber Lake	2013	  03-05	26
ABRA2	Amber Lake	2013	  04-01	35
ABRA2	Amber Lake	2013	  04-30	24
ABRA2	Amber Lake	2013	  05-01	36
ABRA2	Amber Lake	2013	  05-01	36
ABRA2	Amber Lake	2013	  12-01	10
ABRA2	Amber Lake	2013	  12-20	10
ABRA2	Amber Lake	2014	  01-05	26
ABRA2	Amber Lake	2014	  03-03	27
ABRA2	Amber Lake	2014	  04-01	29
ABRA2	Amber Lake	2014	  11-03	4
ABRA2	Amber Lake	2015	  01-05	15
ABRA2	Amber Lake	2015	  03-01	24
ABRA2	Amber Lake	2015	  04-03	26
ACSA2	Susitna River at Alexander Creek	1970	  10-31	13
ACSA2	Susitna River at Alexander Creek	1970	  11-30	17
ACSA2	Susitna River at Alexander Creek	1971	  01-31	24
ACSA2	Susitna River at Alexander Creek	1971	  02-28	27
ACSA2	Susitna River at Alexander Creek	1971	  03-31	27
ACSA2	Susitna River at Alexander Creek	1971	  04-30	27
ACSA2	Susitna River at Alexander Creek	1971	  12-31	23
ACSA2	Susitna River at Alexander Creek	1972	  01-31	30
ACSA2	Susitna River at Alexander Creek	1972	  03-30	35
ACSA2	Susitna River at Alexander Creek	1972	  05-30	37
AKLA2	Auke Lake	2015	  03-23	0
AKLA2	Auke Lake	2015	  03-25	0
AKLA2	Auke Lake	2015	  03-26	0
AKLA2	Auke Lake	2015	  03-30	0
AKLA2	Auke Lake	2015	  03-31	0
AKLA2	Auke Lake	2015	  04-01	0
AKLA2	Auke Lake	2015	  04-02	0
AKLA2	Auke Lake	2015	  04-05	0
AKLA2	Auke Lake	2015	  04-05	0
AKLA2	Auke Lake	2015	  04-06	0
AKLA2	Auke Lake	2015	  04-07	0
AKLA2	Auke Lake	2015	  04-08	0
AKLA2	Auke Lake	2015	  04-09	0
AKLA2	Auke Lake	2015	  04-13	0
AKLA2	Auke Lake	2015	  04-14	0
AKLA2	Auke Lake	2015	  04-15	0
AKLA2	Auke Lake	2015	  04-16	0
AKLA2	Auke Lake	2015	  04-20	0
AKLA2	Auke Lake	2015	  04-21	0
AKLA2	Auke Lake	2015	  04-22	0
AKLA2	Auke Lake	2015	  04-23	0
AKLA2	Auke Lake	2015	  04-29	0
ALLA2	Koyukuk River at Allakaket	1961	  10-16	4
ALLA2	Koyukuk River at Allakaket	1961	  10-23	6
ALLA2	Koyukuk River at Allakaket	1961	  10-30	8
ALLA2	Koyukuk River at Allakaket	1961	  11-06	10
ALLA2	Koyukuk River at Allakaket	1961	  11-13	11
ALLA2	Koyukuk River at Allakaket	1961	  11-20	12
ALLA2	Koyukuk River at Allakaket	1961	  11-27	13
ALLA2	Koyukuk River at Allakaket	1961	  12-04	16
ALLA2	Koyukuk River at Allakaket	1961	  12-11	16
ALLA2	Koyukuk River at Allakaket	1961	  12-18	18
ALLA2	Koyukuk River at Allakaket	1961	  12-26	18
ALLA2	Koyukuk River at Allakaket	1962	  01-02	16
ALLA2	Koyukuk River at Allakaket	1962	  01-08	13
ALLA2	Koyukuk River at Allakaket	1962	  01-15	18
ALLA2	Koyukuk River at Allakaket	1962	  01-22	14
ALLA2	Koyukuk River at Allakaket	1962	  01-29	14
ALLA2	Koyukuk River at Allakaket	1962	  02-05	13
ALLA2	Koyukuk River at Allakaket	1962	  02-12	13
ALLA2	Koyukuk River at Allakaket	1962	  02-19	12
ALLA2	Koyukuk River at Allakaket	1962	  02-26	18
ALLA2	Koyukuk River at Allakaket	1962	  03-05	18
ALLA2	Koyukuk River at Allakaket	1962	  03-12	22
ALLA2	Koyukuk River at Allakaket	1962	  03-19	13
ALLA2	Koyukuk River at Allakaket	1962	  03-26	12
ALLA2	Koyukuk River at Allakaket	1962	  04-02	33
ALLA2	Koyukuk River at Allakaket	1962	  04-09	33
ALLA2	Koyukuk River at Allakaket	1962	  04-16	33
ALLA2	Koyukuk River at Allakaket	1962	  04-23	33
ALLA2	Koyukuk River at Allakaket	1962	  04-30	33
ALLA2	Koyukuk River at Allakaket	1962	  05-07	32
ALLA2	Koyukuk River at Allakaket	1962	  05-14	32
ALLA2	Koyukuk River at Allakaket	1962	  10-01	0
ALLA2	Koyukuk River at Allakaket	1962	  10-08	0
ALLA2	Koyukuk River at Allakaket	1962	  10-15	0
ALLA2	Koyukuk River at Allakaket	1962	  10-22	3
ALLA2	Koyukuk River at Allakaket	1962	  10-29	6
ALLA2	Koyukuk River at Allakaket	1962	  11-05	9
ALLA2	Koyukuk River at Allakaket	1962	  11-12	15
ALLA2	Koyukuk River at Allakaket	1962	  11-19	15
ALLA2	Koyukuk River at Allakaket	1962	  11-26	15
ALLA2	Koyukuk River at Allakaket	1962	  12-03	15
ALLA2	Koyukuk River at Allakaket	1962	  12-10	16
ALLA2	Koyukuk River at Allakaket	1962	  12-17	16
ALLA2	Koyukuk River at Allakaket	1962	  12-24	16
ALLA2	Koyukuk River at Allakaket	1962	  12-31	18
ALLA2	Koyukuk River at Allakaket	1963	  01-07	19
ALLA2	Koyukuk River at Allakaket	1963	  01-14	19
ALLA2	Koyukuk River at Allakaket	1963	  01-21	20
ALLA2	Koyukuk River at Allakaket	1963	  01-28	24
ALLA2	Koyukuk River at Allakaket	1963	  02-04	25
ALLA2	Koyukuk River at Allakaket	1963	  02-11	22
ALLA2	Koyukuk River at Allakaket	1963	  02-18	22
ALLA2	Koyukuk River at Allakaket	1963	  02-25	23
ALLA2	Koyukuk River at Allakaket	1963	  03-04	24
ALLA2	Koyukuk River at Allakaket	1963	  03-11	22
ALLA2	Koyukuk River at Allakaket	1963	  03-18	22
ALLA2	Koyukuk River at Allakaket	1963	  03-25	27
ALLA2	Koyukuk River at Allakaket	1963	  04-01	30
ALLA2	Koyukuk River at Allakaket	1963	  04-08	30
ALLA2	Koyukuk River at Allakaket	1963	  04-15	29
ALLA2	Koyukuk River at Allakaket	1963	  04-22	32
ALLA2	Koyukuk River at Allakaket	1963	  04-29	31
ALLA2	Koyukuk River at Allakaket	1963	  05-06	24
ALLA2	Koyukuk River at Allakaket	1964	  10-03	0
ALLA2	Koyukuk River at Allakaket	1964	  10-10	0
ALLA2	Koyukuk River at Allakaket	1964	  10-17	0
ALLA2	Koyukuk River at Allakaket	1964	  10-24	1
ALLA2	Koyukuk River at Allakaket	1964	  10-31	2
ALLA2	Koyukuk River at Allakaket	1964	  11-07	10
ALLA2	Koyukuk River at Allakaket	1964	  11-14	13
ALLA2	Koyukuk River at Allakaket	1964	  11-21	13
ALLA2	Koyukuk River at Allakaket	1964	  11-28	22
ALLA2	Koyukuk River at Allakaket	1964	  12-05	25
ALLA2	Koyukuk River at Allakaket	1964	  12-12	27
ALLA2	Koyukuk River at Allakaket	1964	  12-19	30
ALLA2	Koyukuk River at Allakaket	1964	  12-26	32
ALLA2	Koyukuk River at Allakaket	1965	  01-02	33
ALLA2	Koyukuk River at Allakaket	1965	  01-09	34
ALLA2	Koyukuk River at Allakaket	1965	  01-16	34
ALLA2	Koyukuk River at Allakaket	1965	  01-23	34
ALLA2	Koyukuk River at Allakaket	1965	  01-30	34
ALLA2	Koyukuk River at Allakaket	1965	  02-06	34
ALLA2	Koyukuk River at Allakaket	1965	  02-13	34
ALLA2	Koyukuk River at Allakaket	1965	  02-20	34
